P,CO2,CH4
0.0001,2.64177E-05,4.9533E-06
0.0005,0.000183273,3.63243E-05
0.001,0.000331872,9.24619E-05
0.01,0.003269189,0.000914713
0.02,0.005800334,0.001903725
0.03,0.009312236,0.002924108
0.04,0.012143882,0.003749661
0.05,0.016241926,0.00471886
0.06,0.020680098,0.005529553
0.07,0.022308088,0.006670467
0.08,0.024333994,0.007641317
0.09,0.028681355,0.008529612
0.1,0.031479979,0.009497159
0.3,0.085910326,0.027305984
0.5,0.140124378,0.045955222
0.7,0.197676966,0.061429384
0.9,0.236160935,0.076946474
1,0.265106467,0.085026985
2,0.437216063,0.153286992
3,0.606084538,0.210375619
4,0.725854087,0.262938565
5,0.821710673,0.314089817
6,0.908687613,0.352291447
7,0.966297989,0.395334118
8,1.040295589,0.42610082
9,1.108200608,0.461515384
10,1.157709009,0.490860483
