P,H2S,CH4
0.0001,1.95037E-05,1.51695E-05
0.0005,0.000119189,4.55086E-05
0.001,0.00024488,0.000086683
0.01,0.002552816,0.001029361
0.02,0.00490626,0.001887523
0.03,0.007186024,0.002871376
0.04,0.008553449,0.003824889
0.05,0.011067258,0.004904093
0.06,0.014766457,0.005305002
0.07,0.016157719,0.006546737
0.08,0.020459365,0.007758132
0.09,0.022180024,0.008689975
0.1,0.022242869,0.009359602
0.3,0.072490862,0.028637911
0.5,0.111272856,0.047205418
0.7,0.152772363,0.062188583
0.9,0.205614346,0.080597894
1,0.208836789,0.090113525
2,0.366849141,0.165087856
3,0.492949132,0.224736626
4,0.616806199,0.268899469
5,0.706076731,0.317565497
6,0.788622826,0.360850675
7,0.850111443,0.39940946
8,0.859876288,0.447076465
9,0.918669062,0.473371767
10,0.971138309,0.505986262
