P (bar),IWR-1 (mol/kg),LTL-2 (mol/kg),MOR-1 (mol/kg),SEW-1 (mol/kg)
0.0001,9.43850144648503e-06,4.085104772540946e-06,9.61126623030277e-06,1.0209633217835007e-05
0.0005,4.719092916551548e-05,2.042488761306058e-05,4.8055301280422654e-05,5.104628161799702e-05
0.001,9.43779134707309e-05,4.0848184732534214e-05,9.610802792724311e-05,0.00010208785243761877
0.01,0.0009430696416856022,0.00040819580723439904,0.0009606169297897618,0.0010200313021944375
0.02,0.0018845652142516903,0.0008157570732874708,0.0019202045714610256,0.0020381830918831524
0.03,0.0028244907854287735,0.001222685535500197,0.0028787635245273242,0.0030544604193700913
0.04,0.0037628504103223307,0.0016289829243796346,0.0038362943934615473,0.004068868324152795
0.05,0.0046996481314473555,0.0020346509636338284,0.004792797787651215,0.005081411834831203
0.06,0.005634887978763071,0.002439691370206473,0.005748274321353474,0.006092095969018668
0.07,0.006568573969707977,0.0028441058543111713,0.006702724613651477,0.007100925733255523
0.08,0.0075007101092342135,0.0032478961194660643,0.007656149288409366,0.008107906122926594
0.09,0.008431300389842895,0.003651063862527424,0.008608548974229507,0.009113042122179713
0.1,0.009360348791618733,0.004053610773723569,0.009559924304408805,0.0101163387038473
0.3,0.027623543143295057,0.011976719967407264,0.028373331274728755,0.02980354770808295
0.5,0.04530214134364531,0.019665026023903177,0.0467827705947205,0.048795504671597795
0.7,0.062425012640795786,0.0271305209213207,0.06479431249270232,0.06712891214764927
0.9,0.07901927419138921,0.034384334148769326,0.08241452726112662,0.08483842786248813
1.0,0.08712619811722588,0.03793512189156263,0.09108005259316007,0.09346949799085127
2.0,0.16190322993121734,0.07092509476196593,0.17265579980561768,0.17244928144203756
3.0,0.22692758682187927,0.10000185201382926,0.24567991051292,0.24023041262162262
4.0,0.2841233128368715,0.12591300802524943,0.31112914104801154,0.2991909295317783
5.0,0.3349372440401826,0.14921630382831816,0.36992224455232287,0.35106762914230744
6.0,0.3804747469062994,0.1703381650288691,0.42288714191117543,0.3971542665930173
7.0,0.42159352994480703,0.18961146776177118,0.4707528638083388,0.43843495568825624
8.0,0.45896895873867793,0.20730072957594392,0.5141532904113773,0.4756731461881081
9.0,0.49314010176594913,0.2236194084872353,0.5536359239132861,0.5094716875521516
10.0,0.5245426579757348,0.2387420876230589,0.58967225224714,0.5403141446752474
