P (bar),IWR-1 (mol/kg),LTL-2 (mol/kg),MOR-1 (mol/kg),SEW-1 (mol/kg)
0.0001,2.0538588981416805e-05,1.6941360516342483e-05,9.593061924435556e-06,2.1978464837067477e-05
0.0005,0.00010268854642760084,8.470367940347775e-05,4.796434252545502e-05,0.00010988625064718825
0.001,0.00020536609770742913,0.00016939955155323837,9.592626732818757e-05,0.00021975731931599287
0.01,0.0020516838462486743,0.0016925915220769646,0.000958827519135678,0.0021948439791827303
0.02,0.0040989829212582304,0.003382068879082253,0.0019166881908346451,0.0043836387425597555
0.03,0.0061419111627535015,0.005068441233794658,0.0028735822752722993,0.00656640899555811
0.04,0.008180482452917725,0.0067517177114907664,0.0038295100391187616,0.00874317931915786
0.05,0.010214710618644011,0.008431907400141006,0.004784471755487184,0.010913974170534834
0.06,0.012244609431785566,0.010109019350604499,0.00573846770388296,0.013078817883702068
0.07,0.014270192609404445,0.011783062576822885,0.006691498170152176,0.015237734670149581
0.08,0.01629147381401997,0.013454046056012301,0.007643563446432035,0.01739074861948097
0.09,0.018308466653855045,0.015121978728854991,0.008594663831099712,0.019537883700049666
0.1,0.02032118468308211,0.016786869499689213,0.009544799628722612,0.021679163759592716
0.3,0.05969824009444147,0.04945928421629944,0.028345474083756515,0.06331089454862135
0.5,0.0974737505375247,0.08098607423372818,0.04676347879297723,0.1027888060839329
0.7,0.1337435690670794,0.11143010375115167,0.06480260331888102,0.14027600043590382
0.9,0.16859638684282519,0.14084953233502687,0.08246733671220886,0.1759201759408549
1.0,0.1855173307061111,0.15519201946817182,0.09116087233294307,0.19309347635474575
2.0,0.3383449879753219,0.2865673248076767,0.17317927058450555,0.3444268933385822
3.0,0.4665472262780874,0.3994511858158043,0.2468319294788162,0.46638455033580245
4.0,0.5757885654414909,0.4976439029705248,0.31298578555147166,0.5669111561862656
5.0,0.6701437311374349,0.5839396907462139,0.3724920879122699,0.651308208918074
6.0,0.7526086310453934,0.6604451625527832,0.42613831417506814,0.723243051906303
7.0,0.8254299301915422,0.7287827192000473,0.47463033594512183,0.7853339349457484
8.0,0.8903226227388049,0.7902249111984275,0.518589877764555,0.8395019497972498
9.0,0.9486169265360545,0.8457858370917869,0.5585592413390644,0.8871904160968377
10.0,1.0013595657612737,0.8962849226323456,0.5950090518764986,0.9295061975070579
