P (bar),IWR-1 (mol/kg),LTL-2 (mol/kg),MOR-1 (mol/kg),SEW-1 (mol/kg)
0.0001,1.8150556415623263e-05,1.654036866853479e-05,2.1746475129282033e-05,1.8742511583778176e-05
0.0005,9.075043009491977e-05,8.270109003926553e-05,0.00010872577762196511,9.370911239838523e-05
0.001,0.00018149498056875045,0.00016540029668033588,0.00021743506239585105,0.00018740961161837848
0.01,0.0018138921155278671,0.0016536636929917294,0.0021713861109391177,0.001872546924425508
0.02,0.003625436657299114,0.003306572282912772,0.004336203028838921,0.0037416564417862073
0.03,0.005434638116652745,0.00495872394521033,0.006494480023600629,0.005607336816401336
0.04,0.007241500975553649,0.006610116867741028,0.008646246200310414,0.007469596296820324
0.05,0.009046029706602936,0.008260749250715089,0.010791530500318372,0.009328443115751074
0.06,0.010848228773049884,0.009910619306641173,0.012930361702310503,0.011183885489991096
0.07,0.012648102628801228,0.011559725260272165,0.015062768423372196,0.01303593162035939
0.08,0.014445655718432655,0.013208065348549602,0.01718877912004495,0.014884589691630926
0.09,0.016240892477199974,0.01485563782055005,0.019308422089375808,0.01672986787247284
0.1,0.018033817331048974,0.016502440937430436,0.0214217254699593,0.018571774315382452
0.3,0.053413548388719104,0.04927436558843385,0.062398452791675954,0.05471424751912088
0.5,0.0879047232985629,0.0817251662121821,0.10105994837590651,0.08957474749625197
0.7,0.12154045893676167,0.11384374503365678,0.1375956699120499,0.12321422813300185
0.9,0.15435247027393065,0.14562060466608687,0.17217570010741637,0.15569085202061952
1.0,0.17045911849297143,0.16137832466146537,0.18878075845954176,0.1715105035258853
2.0,0.3213873335379329,0.31398875936850346,0.33354666507809394,0.31586455290462684
3.0,0.4560548256100136,0.45730952686404786,0.44820175490897185,0.43885664511164435
4.0,0.5770840346215852,0.5913248140964736,0.5414369213039374,0.5448952428522382
5.0,0.6865847358021918,0.7163201638303679,0.6189280179842946,0.6373272740195054
6.0,0.786264250875235,0.8327500749454005,0.68452345529763,0.718710528800331
7.0,0.877513998034401,0.9411534590769761,0.7409174714363818,0.7910192489340798
8.0,0.9614764682264835,1.042100568693979,0.7900488690626543,0.855794225563704
9.0,1.0390968510976335,1.1361604844781894,0.8333464503566426,0.9142515118035597
10.0,1.1111628878114463,1.2238819418078437,0.8718852921464814,0.9673613597666754
